Primary_Occupation,Registration_Count,Last_Updated
AGRICULTURE,149939978,23-02-2023
APPAREL,17892024,23-02-2023
AUTOMOBILE & TRANSPORTATION,8006221,23-02-2023
BEAUTY & WELLNESS,1889448,23-02-2023
BFSI,40996,23-02-2023
CAPITAL GOODS & MANUFACTURING,6732308,23-02-2023
CONSTRUCTION,25983686,23-02-2023
DOMESTIC AND HOUSEHOLD WORKERS,27922613,23-02-2023
EDUCATION,4858604,23-02-2023
ELECTRONICS & HW,4732986,23-02-2023
FOOD INDUSTRY,950338,23-02-2023
GEM & JEWELLERY,647147,23-02-2023
GLASS & CERAMICS,58532,23-02-2023
HANDICRAFTS & CARPETS,2164079,23-02-2023
HEALTHCARE,3093220,23-02-2023
LEATHER INDUSTRY WORKS,5581598,23-02-2023
MINING,430977,23-02-2023
MISCELLANEOUS,12207857,23-02-2023
MUSICAL INSTRUMENTS,95054,23-02-2023
NOT PROVIDED,77198,23-02-2023
OFFICE ADMINISTRATION & FACILITY MANAGEMENT,2205735,23-02-2023
ORGANISED RETAIL,81707,23-02-2023
OTHERS,107,23-02-2023
PRINTING,461382,23-02-2023
PRIVATE SECURITY,418663,23-02-2023
PROFESSIONALS,756506,23-02-2023
RETAIL,2236565,23-02-2023
SERVICE,263955,23-02-2023
TEXTILE & HANDLOOM,192400,23-02-2023
TOBACCO INDUSTRY,2131060,23-02-2023
TOURISM & HOSPITALITY,3812473,23-02-2023
WOOD & CARPENTRY,174104,23-02-2023
